Country;Year;CRP_RL.EST;CRP_GE.EST;CRP_PV.EST;CRP_RQ.EST;CRP_VA.EST;GDE_SL.GDP.PCAP.EM.KD;CRP_CC.EST
CHL;2011;0,779330271;0,711638974;0,684106398;0,818301583;0,733310893;0,322444973;0,810116659
CHL;2010;0,767546649;0,713199593;0,739019869;0,810613537;0,742620441;0,317720682;0,800393986
CHL;2009;0,757813085;0,70702233;0,720392167;0,814319965;0,708893446;0,316274706;0,766917438
CHL;2008;0,762867612;0,683334437;0,679114413;0,837078924;0,707442466;0,316881475;0,766014296
CHL;2007;0,758153978;0,722462717;0,672936932;0,831956908;0,746575916;0,313076545;0,773567355
CHL;2006;0,75383602;0,644266468;0,722912649;0,813257687;0,736923688;0,305664209;0,79231209
CHL;2005;0,762822162;0,712687124;0,778388814;0,779482531;0,826937597;0,298921904;0,79341478
CHL;2004;0,748990408;0,700798496;0,741858562;0,796310851;0,798142042;0,289827998;0,762642086
CHL;2003;0,752568129;0,695300296;0,758853774;0,785840697;0,725692231;0,273305459;0,724058544
CHL;2002;0,777435305;0,688467331;0,837984981;0,781310759;0,73899769;0,268150335;0,810832018
CHL;2000;0,778579811;0,665565195;0,69206604;0,807449575;0,65406203;0,251159702;0,827808525
CHL;1998;0,727831524;0,694417878;0,582703331;0,798716089;0,538501467;0,231216777;0,760319695
CHL;1996;0,732845527;0,769957814;0,738258029;0,849286575;0,582921265;0,208406059;0,803867496
COL;2021;0,240761986;0,335125725;0,343789529;0,442937117;0,313799803;0,183547296;0,297917425
COL;2020;0,233698619;0,35250422;0,405077276;0,450066708;0,334683328;0,170203682;0,329482962
COL;2019;0,265278481;0,360063109;0,337764984;0,478026639;0,361008434;0,160896878;0,320795848
COL;2018;0,267563049;0,306026274;0,379486828;0,44983112;0,347081089;0,153584788;0,304998146
COL;2017;0,272945948;0,305618492;0,386138311;0,459700257;0,321553616;0,151334171;0,2801186
COL;2016;0,304217199;0,338321843;0,360088997;0,484426557;0,325561771;0,152266087;0,292746151
COL;2015;0,310104889;0,320474388;0,315224937;0,505248283;0,275065091;0,148977938;0,301586589
COL;2014;0,308482502;0,307304575;0,305083878;0,516369962;0,254832901;0,147730359;0,289090569
COL;2013;0,266231993;0,366581186;0,262184187;0,484668703;0,238567869;0,142913606;0,276891029
COL;2012;0,28550644;0,349412451;0,235619166;0,480658738;0,245971743;0,135874706;0,282105885
COL;2011;0,319238136;0,333942176;0,263953654;0,466414778;0,247803543;0,135310092;0,311238698
COL;2010;0,302451425;0,310892459;0,202878178;0,429330428;0,216692076;0,129073197;0,281818155
COL;2009;0,272499922;0,255390823;0,131491999;0,408424488;0,209316914;0,129050958;0,305820689
COL;2008;0,268318046;0,341731568;0,126384868;0,464228931;0,202316692;0,138513626;0,326806057
COL;2007;0,25223971;0,334006738;0,137736354;0,467827583;0,202574098;0,136561729;0,321907222
COL;2006;0,228808622;0,289634413;0,113969389;0,413863381;0,199398358;0,123804345;0,350832018
COL;2005;0,190062964;0,287701159;0,07693022;0,376705745;0,135248708;0,112481623;0,359103937
COL;2004;0,17076119;0,281977965;0,025346521;0,355472341;0,136848857;0,109313589;0,360426943
COL;2003;0,157114902;0,280104956;0;0,343317052;0,089542277;0,100133654;0,342726902
COL;2002;0,154021461;0,196555358;0,101412838;0,374614513;0,095060644;0,102195128;0,326030808
COL;2000;0,099344596;0,223196006;0,185518811;0,409404473;0,085731236;0,114430281;0,28656485
COL;1998;0,180791326;0,247461247;0,14078507;0,330689891;0,125968734;0,111517296;0,253909418
COL;1996;0,153162396;0,205750066;0,176111193;0,349691697;0,054551916;0,106010408;0,257092472
CRI;2021;0,518590551;0,420160378;0,782719559;0,514650133;0,736401346;0,322591311;0,530355084
CRI;2020;0,541669273;0,411556503;0,755259916;0,526423274;0,753405576;0,310170647;0,583515176
CRI;2019;0,551288073;0,458980798;0,678710478;0,546756399;0,742069967;0,283902839;0,57394321
CRI;2018;0,532104952;0,460539517;0,684272705;0,52599684;0,752668957;0,284356835;0,538988806
CRI;2017;0,519781887;0,41965475;0,719043032;0,513049454;0,753802783;0,288940076;0,51977044
CRI;2016;0,520765346;0,439042573;0,731509903;0,541245175;0,7521798;0,293658607;0,588195194
CRI;2015;0,539896461;0,446187;0,736690684;0,583069835;0,766583092;0,255075819;0,590644988
CRI;2014;0,568061455;0,463856278;0,714305591;0,580632891;0,760918963;0,241121756;0,601313098
CRI;2013;0,561979547;0,493141466;0,738611977;0,608169372;0,73526997;0,236704362;0,560127166
CRI;2012;0,55112461;0,498759024;0,729054941;0,607065252;0,739439825;0,233984861;0,558236623
CRI;2011;0,524510152;0,438777072;0,697583211;0,562396372;0,724725405;0,245246928;0,564470753
CRI;2010;0,553252899;0,443654209;0,741905846;0,559294415;0,718740959;0,236412649;0,584273843
CRI;2009;0,566629229;0,450627654;0,716637602;0,538730851;0,704155554;0,21583697;0,598476868
CRI;2008;0,52775113;0,43474896;0,661665121;0,553280959;0,687420996;0,211982472;0,536674328
CRI;2007;0,496882176;0,416189169;0,715600596;0,518111272;0,673967733;0,201473357;0,526637947
CRI;2006;0,507872352;0,359500585;0,752671522;0,497489858;0,665562878;0,192855959;0,504820117
CRI;2005;0,541290812;0,396814767;0,745942641;0,561758514;0,623264256;0,180520139;0,501077713
CRI;2004;0,543043168;0,416446115;0,727404057;0,547361467;0,689354214;0,186078806;0,478756354
CRI;2003;0,550489201;0,41617251;0,718740822;0,570550898;0,686360995;0,176113456;0,543163438
CRI;2002;0,559230128;0,446051078;0,833123234;0,515467121;0,749118448;0,172662027;0,523150076
CRI;2000;0,553662726;0,432121931;0,784715425;0,593151539;0,742214708;0,173661993;0,593788281
CRI;1998;0,583471563;0,446904529;0,793225493;0,6613583;0,762759389;0,165677614;0,609757596
CRI;1996;0,5788617;0,496884714;0,756783365;0,548925832;0,734790361;0,168922941;0,593102556
DOM;2021;0,350945439;0,349164788;0,644139196;0,405293135;0,399916145;0,266492596;0,235464719
DOM;2020;0,332957002;0,261387136;0,614546067;0,388687198;0,375223876;0,241479038;0,190659825
DOM;2019;0,286958473;0,239464369;0,573889839;0,375975398;0,350229968;0,245528869;0,16629754
DOM;2018;0,273086529;0,227713087;0,577604703;0,373016047;0,326961427;0,238606892;0,168536979
DOM;2017;0,253162653;0,229398717;0,611433753;0,369967194;0,341579142;0,228639735;0,180663155
DOM;2016;0,264085655;0,258446894;0,633003891;0,378847824;0,351295987;0,223564602;0,174293401
DOM;2015;0,221942547;0,225829016;0,62969326;0,385933082;0,339453486;0,211877246;0,156646284
DOM;2014;0,267456712;0,20647482;0,609949078;0,391770819;0,354313131;0,206045161;0,165463362
DOM;2013;0,220504358;0,196401297;0,624821761;0,375261063;0,322788276;0,194258221;0,146044934
DOM;2012;0,164029094;0,180700323;0,635690271;0,362913677;0,326738158;0,183044951;0,150035465
DOM;2011;0,135658798;0,151675114;0,574537547;0,329126622;0,312108604;0,18461451;0,164616357
DOM;2010;0,120953644;0,133988831;0,563781725;0,346496797;0,305011423;0,185546283;0,153979439
DOM;2009;0,135346521;0,154778439;0,573992586;0,33213976;0,311836705;0,175683226;0,175210116
DOM;2008;0,174634243;0,150201403;0,565461728;0,332759194;0,343929383;0,166512913;0,190328415
DOM;2007;0,192306175;0,14045428;0,555650939;0,314004455;0,357750489;0,166226819;0,183796006
DOM;2006;0,205097787;0,174593853;0,548097659;0,310923843;0,361456836;0,15418148;0,198365512
DOM;2005;0,173697817;0,187293207;0,512071506;0,262740615;0,243161121;0,143253022;0,201922355
DOM;2004;0,175213663;0,142692072;0,491380855;0,246300672;0,293510066;0,125929985;0,234863851
DOM;2003;0,187794398;0,175196975;0,473100492;0,26338448;0,283336904;0,127131672;0,196920009
DOM;2002;0,167646302;0,228247551;0,603328176;0,303790472;0,374987709;0,13050591;0,268015296
DOM;2000;0,176560194;0,216260802;0,577785473;0,343836499;0,370061923;0,120512232;0,208086212
DOM;1998;0,207501406;0,184359563;0,473965722;0,359282573;0,313243541;0,109521356;0,189376961
DOM;1996;0,224395468;0,279672315;0,556355261;0,311562126;0,297582119;0,091519082;0,281912054
ECU;2021;0,276901881;0,274177751;0,512393841;0,163545673;0,316535383;0,096021172;0,234337284
ECU;2020;0,218614207;0,202166364;0,509289582;0,117619361;0,26745799;0,112194148;0,259449502
ECU;2019;0,218088182;0,234324306;0,517032264;0,140182442;0,287086196;0,108244052;0,257976619
ECU;2018;0,180701186;0,249957912;0,551723617;0,112843789;0,27386122;0,111506284;0,224588193
ECU;2017;0,163630676;0,239159953;0,55556384;0,071519681;0,199663543;0,110459817;0,225507428
ECU;2016;0,185142176;0,229416958;0,552473454;0,091145717;0,167534482;0,113324061;0,210302133
ECU;2015;0,089615607;0,226009937;0,539017959;0,035645985;0,182692499;0,124670466;0,212628883
ECU;2014;0,085214936;0,229066579;0,570171735;0,102721544;0,186672072;0,139480246;0,193591023
ECU;2013;0,116400215;0,209222067;0,531445058;0,127780214;0,165142402;0,136233518;0,259796956
ECU;2012;0,056188711;0,200833509;0,436722586;0,095656541;0,146558382;0,129880197;0,25810921
ECU;2011;0,031218708;0,184021118;0,408606682;0,091791597;0,147735847;0,125513602;0,221096204
ECU;2010;0,031546895;0,137954171;0,432763909;0,040958134;0,174410787;0,112616737;0,202733992
ECU;2009;0,012340577;0,118012277;0,4117222;0;0,166155037;0,107071165;0,192492924
ECU;2008;0,04333048;0,081468713;0,398418571;0,039898204;0,178169421;0,101460453;0,217482032
ECU;2007;0,065841006;0,0792479;0,377303457;0,037052214;0,20437532;0,092163293;0,192198755
ECU;2006;0,066418593;0,023822927;0,368152121;0,048603182;0,164653782;0,09012668;0,181503415
ECU;2005;0,131554441;0,045851219;0,382630413;0,145958865;0,117594128;0,089692743;0,194910814
ECU;2004;0,149103673;0,049167614;0,370791965;0,169692389;0,168605498;0,085750247;0,197471503
ECU;2003;0,144233743;0,055785318;0,3422177;0,16221769;0,221324389;0,083026358;0,197067118
ECU;2002;0,151708927;0,088748652;0,390911747;0,160696504;0,254110151;0,082817318;0,15810029
ECU;2000;0,179722495;0,134569117;0,436244086;0,244654437;0,167499523;0,080445865;0,177184142
ECU;1998;0,219125657;0,23838568;0,535379649;0,362041591;0,322480801;0,086744158;0,1793488
ECU;1996;0,247042075;0,200510983;0,388417661;0,288226993;0,279067294;0,089686999;0,209093437
FRA;2021;0,778371194;0,736241443;0,653383664;0,754600064;0,746494739;0,768558893;0,756086938
FRA;2020;0,789860077;0,728083148;0,642602808;0,74219957;0,729771974;0,738519588;0,71161478
FRA;2019;0,812850956;0,770055448;0,640263287;0,815574363;0,750789219;0,804381878;0,746644794
FRA;2018;0,820582986;0,795652458;0,577990112;0,729480202;0,768997527;0,792958557;0,755907774
FRA;2017;0,820842942;0,760800186;0,638915146;0,729097733;0,766937617;0,784620055;0,739992291
FRA;2016;0,806799497;0,783588703;0,548932899;0,702540025;0,760105455;0,77221595;0,768984194
FRA;2015;0,811475274;0,795043926;0,598297787;0,719874462;0,790165026;0,766093037;0,746626927
FRA;2014;0,838447589;0,793689208;0,647348091;0,707223024;0,795101674;0,75841031;0,757744486
FRA;2013;0,822520956;0,815380645;0,683185114;0,730206514;0,795555909;0,746344844;0,762229994
FRA;2012;0,833270418;0,78107622;0,708869495;0,722410394;0,80363289;0,740714935;0,808831126
FRA;2011;0,831033931;0,787019617;0,720490943;0,732069936;0,774750848;0,739809571;0,827128699
FRA;2010;0,852783736;0,809113722;0,739378546;0,778784186;0,788536376;0,722745585;0,813220804
FRA;2009;0,836012448;0,813633854;0,698486987;0,749850255;0,806386432;0,7087303;0,797152444
FRA;2008;0,851709312;0,844089497;0,706164983;0,770931264;0,832194206;0,724359671;0,787438456
FRA;2007;0,839311543;0,809714766;0,710818668;0,771935693;0,812909865;0,733500797;0,804391097
FRA;2006;0,841113276;0,861186491;0,718680161;0,75746394;0,829593931;0,728272422;0,804129462
FRA;2005;0,824227678;0,873113303;0,671329331;0,759021892;0,90584835;0,713905435;0,77701206
FRA;2004;0,829622615;0,901118048;0,658121962;0,750384231;0,897148754;0,710984377;0,764117057
FRA;2003;0,801065667;0,868289561;0,618079416;0,75008111;0,754191055;0,688091411;0,76261338
FRA;2002;0,763649186;0,834683141;0,798172466;0,677464138;0,767758732;0,701116225;0,730866708
FRA;2000;0,831833322;0,863881289;0,764531838;0,658989159;0,780026501;0,702923023;0,767053343
FRA;1998;0,810768672;0,806237843;0,743683862;0,631956247;0,77522765;0,676909115;0,775130864
FRA;1996;0,847797144;0,742912757;0,789300305;0,699556838;0,834919821;0,640035352;0,746389292
GBR;2021;0,820731929;0,73974607;0,693136967;0,821890253;0,815016134;0,658479945;0,855812528
GBR;2020;0,84134923;0,768290163;0,691096895;0,828452211;0,800650521;0,596573982;0,861132197
GBR;2019;0,874445791;0,805108718;0,702225464;0,870533507;0,814194201;0,674503087;0,885799689
GBR;2018;0,884855323;0,777404477;0,593413469;0,917989714;0,865121784;0,670614189;0,901871663
GBR;2017;0,897710961;0,799074987;0,666730281;0,898440931;0,85715069;0,666745738;0,903832612
GBR;2016;0,896511041;0,844254443;0,658803348;0,911898174;0,828168632;0,656549092;0,914115314
GBR;2015;0,937085009;0,88543028;0,696478018;0,937763715;0,829222711;0,651615915;0,908828229
GBR;2014;0,969328357;0,85977573;0,675108006;0,933177084;0,819783637;0,646725475;0,885204987
GBR;2013;0,911729627;0,824849745;0,692244355;0,915463214;0,842576876;0,640678848;0,877491229
GBR;2012;0,924152028;0,849483474;0,671945291;0,878105963;0,846900559;0,636640497;0,862633752
GBR;2011;0,902192975;0,853561068;0,659716344;0,881601988;0,829032378;0,63414505;0,848564627
GBR;2010;0,938221292;0,857895739;0,674254396;0,906197811;0,825855489;0,629914789;0,84600934
GBR;2009;0,924830627;0,823382306;0,604148187;0,861058569;0,831554437;0,614227223;0,851074501
GBR;2008;0,913971263;0,863174486;0,693859567;0,92279235;0,839144559;0,636061702;0,863591355
GBR;2007;0,921286614;0,865320052;0,71363728;0,947889086;0,845386118;0,643634178;0,881377891
GBR;2006;0,937507244;0,873221158;0,735990773;0,939354332;0,863878036;0,630750441;0,895300504
GBR;2005;0,8709393;0,902984037;0,604689521;0,870632403;0,891794427;0,622543861;0,925481314
GBR;2004;0,886301347;0,936413269;0,608718771;0,904932646;0,957530779;0,613618191;0,930884581
GBR;2003;0,904882554;0,898198854;0,640257441;0,881126693;0,844292217;0,604726597;0,950916838
GBR;2002;0,900064056;0,908684957;0,737323691;0,899409516;0,823041141;0,591095396;0,956389881
GBR;2000;0,904803026;0,905260894;0,824515918;0,928992867;0,840106893;0,57601453;0,975804398
GBR;1998;0,925297127;0,934574197;0,799595856;0,980273984;0,785290053;0,543077289;0,970260916
GBR;1996;0,892868275;0,940864892;0,812002008;0,994100327;0,818285891;0,514587825;0,950239764
HND;2021;0,048953555;0,092852283;0,422811667;0,219548306;0,021108173;0,023521916;0,096159764
HND;2020;0,072910401;0,147082298;0,466177353;0,231645977;0,008388059;0,019418831;0,124790789
HND;2019;0,06318106;0,155356684;0,437022562;0,231414074;0,028434572;0,018689674;0,156035605
HND;2018;0,058282367;0,155612058;0,446019505;0,245633582;0,049224469;0,015156719;0,216853419
HND;2017;0,056561126;0,182883682;0,437851867;0,245202604;0,084872608;0,017746661;0,193969669
HND;2016;0,033614437;0,110101194;0,468853105;0,22076265;0,085733941;0,018744025;0,210708291
HND;2015;0,094052394;0,080071729;0,4603152;0,255054926;0,092754304;0,015712037;0,235681687
HND;2014;0,093782528;0,094908339;0,445483184;0,257903806;0,098134976;0,015762604;0,180658265
HND;2013;0,022350692;0,122558989;0,468573657;0,321771529;0,069972693;0,016586221;0,136797152
HND;2012;0,030553851;0,132605773;0,489976861;0,319526013;0,072181875;0,022397045;0,133944713
HND;2011;0,105458767;0,186197232;0,480225321;0,335331598;0,072662135;0,019583963;0,16764486
HND;2010;0,114795098;0,149767064;0,454473994;0,306927998;0,057691994;0,014587067;0,152286356
HND;2009;0,108522186;0,137933263;0,50011627;0,287665881;0,045123436;0,014998528;0,146982864
HND;2008;0,084950164;0,154183702;0,447168536;0,285731259;0,1471824;0,023262813;0,144918925
HND;2007;0,098131211;0,175837478;0,468956127;0,295976728;0,190807069;0,02343521;0,179432631
HND;2006;0,079568358;0,142383463;0,4131182;0,242946207;0,213661721;0,019049497;0,167812802
HND;2005;0,147176889;0,136170635;0,423914495;0,1921511;0,125276009;0,014020937;0,171587691
HND;2004;0,122570503;0,124779653;0,480073784;0,251456075;0,127412566;0,011580309;0,136461234
HND;2003;0,095798027;0,11064614;0,482783493;0,201822241;0,197205169;0,007200066;0,128578853
HND;2002;0,113465848;0,134524062;0,51359985;0,21917469;0,203716246;0,003965998;0,116031885
HND;2000;0,076660569;0,167667203;0,555645153;0,210403101;0,231147616;0,002489376;0,129846502
HND;1998;0,111605701;0,157639044;0,581827134;0,260443857;0,263769993;0,000651053;0,117275088
HND;1996;0,098004956;0,116158529;0,460887323;0,171900918;0,177971302;0;0,099554217
MEX;2021;0,136286799;0,242282483;0,408170521;0,305472433;0,240710163;0,268630357;0,115821132
MEX;2020;0,185875485;0,265006141;0,383257423;0,377752588;0,262170239;0,278783161;0,143295203
MEX;2019;0,182014379;0,253476727;0,370618198;0,385483397;0,277182353;0,281002058;0,144496441
